2011-01-01,6,2,多云~雨夹雪,北风,4-5级,
2011-01-02,6,2,多云,北风,4-5级,
2011-01-03,7,2,多云~阴,东北风,3-4级,
2011-01-04,6,1,小雨,北风,4-5级,
2011-01-05,5,0,阴~多云,北风,4-5级,
2011-01-06,6,0,多云,北风,3-4级,
2011-01-07,7,2,多云,北风,4-5级,
2011-01-08,7,4,多云~阴,东北风,3-4级,
2011-01-09,7,0,阴~多云,北风,3-4级,
2011-01-10,5,0,多云~阴,东北风~东风,4-5级~3-4级,
2011-01-11,6,2,多云,东风,3-4级,
2011-01-12,7,3,多云~阴,东北风,3-4级,
2011-01-13,6,0,阴~多云,东北风,4-5级,
2011-01-14,5,-2,多云,北风,4-5级,
2011-01-15,3,-1,多云,北风~东北风,4-5级,
2011-01-16,4,0,多云~阴,东北风,4-5级~3-4级,
2011-01-26,7,2,阴,东北风,3-4级,
2011-01-29,4,-2,晴~多云,北风,4-5级,
2011-01-30,4,-3,多云~晴,西北风,4-5级~3-4级,
2011-01-31,7,-2,晴,西北风,微风~3-4级,
2011-02-01,9,1,多云,西南风,3-4级,
2011-02-02,11,2,晴,西南风,微风,
2011-02-03,13,3,晴~多云,南风,微风~3-4级,
2011-02-04,14,4,晴,南风~北风,3-4级,
2011-02-05,15,5,晴~多云,北风~东南风,3-4级,
2011-02-06,16,5,多云~晴,南风~北风,3-4级,
2011-02-07,15,10,多云~阴,东风~东南风,3-4级,
2011-02-08,19,6,多云,东北风,3-4级,
2011-02-09,9,4,阴~小雨,北风,4-5级,
2011-02-10,5,1,小雨~雨夹雪,东北风,4-5级,
2011-02-11,6,-1,多云,北风,4-5级,
2011-02-12,5,0,多云~阴,北风~东北风,4-5级~3-4级,
2011-02-13,4,0,阴,东北风,3-4级,
2011-02-14,4,-1,多云,北风,4-5级~3-4级,
2011-02-15,6,3,晴~多云,东北风~东风,3-4级,
2011-02-16,9,5,小雨,东南风~东北风,3-4级,
2011-02-17,5,3,阴~多云,东北风,4-5级,
2011-02-18,6,2,多云~阴,北风~东北风,4-5级~3-4级,
2011-02-19,8,3,阴~多云,北风~东北风,3-4级,
2011-02-20,11,2,多云~晴,东北风,3-4级,
2011-02-21,12,5,晴,北风~东北风,3-4级,
2011-02-22,13,7,晴~多云,东风~东南风,3-4级,
2011-02-23,16,8,晴,东南风,3-4级,
2011-02-24,18,9,晴~多云,东南风~东风,3-4级,
2011-02-25,13,9,多云~阴,东北风~东南风,4-5级,
2011-02-26,15,11,小雨~阴,东南风,3-4级~4-5级,
2011-02-27,20,7,多云~阵雨,西北风~北风,3-4级~4-5级,
2011-02-28,7,4,小雨,北风,4-5级,
2011-03-01,6,0,阴~多云,北风,4-5级~3-4级,
2011-03-02,8,1,晴,北风,3-4级,
2011-03-03,9,1,阴~多云,北风,3-4级,
2011-03-04,9,4,晴~多云,东北风~东南风,3-4级,
2011-03-05,13,7,多云~小雨,东南风~南风,4-5级~3-4级,
2011-03-06,10,4,小雨~阴,北风,3-4级~4-5级,
2011-03-07,10,2,晴,北风,3-4级,
2011-03-08,15,5,晴~多云,西南风,3-4级,
2011-03-09,14,3,多云,北风,4-5级~3-4级,
2011-03-10,13,6,晴~多云,东南风,3-4级,
2011-03-11,17,9,晴~多云,南风,3-4级~4-5级,
2011-03-12,17,10,多云,南风~东南风,4-5级,
2011-03-13,18,8,多云~阵雨,东南风,4-5级~3-4级,
2011-03-14,14,4,小雨,北风,4-5级,
2011-03-15,9,2,阴~多云,北风,4-5级,
2011-03-16,12,4,多云~晴,西北风~东北风,3-4级,
2011-03-17,16,6,晴~多云,东南风~南风,3-4级~4-5级,
2011-03-18,15,9,阴,东南风~南风,4-5级~3-4级,
2011-03-19,16,12,阵雨,南风,4-5级,
2011-03-20,16,7,阵雨~中雨,东北风,4-5级,
2011-03-21,8,5,中雨~小雨,北风,4-5级,
2011-03-22,9,3,小雨~多云,北风,4-5级~3-4级,
2011-03-23,13,6,晴~多云,东风,3-4级,
2011-03-24,16,5,多云,南风~北风,3-4级~4-5级,
2011-03-25,13,5,晴~多云,东北风~东南风,3-4级,
2011-03-26,15,7,晴~多云,西南风~南风,3-4级,
2011-03-27,17,8,晴~多云,南风,3-4级,
2011-03-28,19,9,晴~多云,西南风~北风,3-4级~4-5级,
2011-03-29,14,6,多云~晴,东北风,4-5级~3-4级,
2011-03-30,16,7,晴~多云,南风~东南风,3-4级~4-5级,
2011-03-31,19,9,晴~多云,东南风,3-4级,
